data_ZnMgTm

loop_ 
 _refln_index_h1 
 _refln_index_h2 
 _refln_index_h3
 _refln_index_h4 
 _refln_index_h5
 _refln_index_h6  
 _refln_F_obs 
 _refln_F_calc
 _refln_dExt

0	0	2	2	0	2	0.1759	0.1720	0.9863
0	-2	0	-1	2	1	0.1752	0.1675	0.9829
1	2	0	1	0	-2	0.1717	0.1707	0.9884
0	0	1	2	1	2	0.1681	0.1644	0.9865
1	-1	-1	-2	-1	-1	0.1645	0.1518	0.9956
0	-1	0	0	-2	2	0.1583	0.1652	0.9974
0	-3	-1	0	0	0	0.1575	0.1571	0.9824
-1	-1	0	1	1	1	0.1570	0.1502	0.9940
0	-2	-1	1	-2	0	0.1528	0.1528	0.9931
1	-1	0	-2	-2	0	0.1527	0.1454	0.9938
-2	1	0	-2	1	0	0.1494	0.1447	0.9896
-1	1	1	1	1	-1	0.1493	0.1284	0.9971
0	-1	0	1	-1	1	0.1317	0.1842	0.9993
0	1	1	-2	-1	0	0.1304	0.1275	0.9898
-1	1	0	-1	-2	0	0.1290	0.1255	0.9884
-2	0	1	0	2	-1	0.1282	0.1355	0.9964
1	1	-1	0	1	2	0.1272	0.1238	0.9869
-2	0	3	0	0	3	0.1272	0.1309	0.9971
-3	0	2	1	0	2	0.1255	0.1219	0.9992
1	0	1	1	-2	-1	0.1214	0.1180	0.9912
0	0	1	2	1	-1	0.1202	0.1179	0.9913
0	2	-2	-2	0	1	0.1194	0.1241	0.9800
-1	0	0	2	-1	-1	0.1187	0.1170	0.9942
1	-3	0	0	0	0	0.1169	0.1150	0.9948
2	2	0	1	0	2	0.1167	0.1189	0.9817
2	0	2	0	-2	-2	0.1161	0.1192	0.9804
2	1	1	0	0	-1	0.1156	0.1131	0.9933
-1	-1	1	2	1	1	0.1152	0.1066	0.9956
-1	-1	-2	0	1	-1	0.1147	0.1109	0.9909
-1	-1	1	-1	-1	2	0.1143	0.1015	0.9980
0	2	-2	-2	-1	0	0.1128	0.1145	0.9862
1	0	-1	2	-2	0	0.1124	0.1162	0.9986
0	2	-2	-1	0	-1	0.1112	0.1113	0.9964
-2	0	2	2	-2	0	0.1108	0.1083	0.9894
0	2	2	-1	0	-2	0.1085	0.1067	0.9906
0	0	0	0	-3	-2	0.1070	0.1094	0.9874
-2	2	-1	-2	0	1	0.1070	0.1088	0.9847
